rec_id, rec2_id, culture, sex, age, date_of_birth, title, given_name, surname, state, suburb, postcode, street_number, address_1, address_2, phone_number, soc_sec_id, blocking_number, family_role
rec-5548-dup-1, rec-3875-org, jew, , 30, 19900423, , liam, yadin, qld, kelvin grove, 03931, 2, wyangala street, , 613 2971614, 619937022, 5, NoRole
rec-1994-dup-1, rec-4535-org, unk, f, 32, 19881225, , tylan, aaternir, qld, idalia, , 257, macckellar crescent, banora, 613 2172194, 166890742, 8, NoRole
rec-9668-dup-1, rec-975-org, chi, , 31, 1989 0604, mr, izaac, shao, nsw, springwood, 03220, 41, kenyon ci cuit, , 612 8645193, 303369046, 3, NoRole
rec-9573-org,   rec-1918-org, unk, , 29, 19910302, , mitchell, strangway, vic, seaspray, 06210, 3, vasey crescent, , 416 5212713, 432288804, 0, NoRole
rec-4503-org,   rec-5399-org, usa, f, 29, 19911006, , henry, rodgers, vic, portsea, 04655, 3, aroona court, , 618 6282983, 934741895, 8, NoRole
rec-3563-org,   rec-669-org, unk, f, 27, 19930124, mrs, riley, strahn, qld, tingalpa, 02527, 19, euroka street, palm lake resort, 613 2191067, 633127199, 4, Org-wife
rec-8528-dup-1, rec-2446-org, ger, , , 19S10804, ms, cain, henschel, wa, noranda, 02756, 9 , sutton place, , 618 6713980, 353132029, 3, NoRole
rec-1032-dup-0, rec-5543-org, usa, f, 20, 20000221, , briley, gates, nsw, swan vale, 03129, 270, maharatta circuit, , 612 6923176, 243542513, 1, NoRole
rec-999-dup-0, rec-9098-org, unk, f, , 19840717, , joshua, aaron, ns , laughtondale, 04060, 2 , william street, , 612 7333677, 122071812, 1, NoRole
rec-4619-org,   rec-2642-org, chi, , 30, 19900228, , renee, hann, nsw, north curl curl, 02212, 10, keverstone circuit, roachdale, 708 1996699, 246670499, 5, NoRole
rec-1408-dup-0, rec-9981-org_h-1, usa, f, 26, 19940326, ms, maryellqen, fry, tas, geeveston, 02850, 122, barr-smithavenue, highvalevillage , 6174300414, 513586900, 0, NoRole
rec-1349-dup-0, rec-284-org, cze, f, 28, , , yasmin, bene� , nsw, tarana, 02320, 20, sargeant  lace, , 612 9960533, 907536230, 8, NoRole
rec-8067-dup-0, rec-6128-org, unk, f, 29, 19910625, dr, isabella, strainij, sa, ironbank, 03198, 22, osburn drive, locn 3 16, 617  440587, 229673047, 5, NoRole
rec-5876-org,   rec-565-org, eng, f, 31, 19890730, , erin, hyland, nsw, bannister, 07316, 11, casey crescent, , 612 3796176, 711447960, 3, NoRole
rec-5367-org,   rec-9338-org, ara, f, 33, 19871114, ms, , tabalah, vic, gilderoy, 06062, 26, coningham street, autum lodge, 618 5624377, 773737346, 8, NoRole
rec-4571-dup-0, rec-6440-org_f-0, ara, f , 39, 2011 727, mr, azima, nudbah, vic, trigg, 04870, 21, ulverstonestreet, hillsidefarm, 6183167212, 86359 4149, 8, wife-y-True
rec-9850-org,   rec-9310-org, hun, f, 29, 19911220, ms, reuben, zavadsky, qld, alligator creek, 02500, 1, grounds crescent, , 416 0968927, 651858694, 4, NoRole
rec-10481-org,   rec-3377-org, usa, m, 22, 19980113, , caitlin, wilder, qld, stockyard, 04701, 11, bateman street, mayville, 613 0555109, 994788802, 3, NoRole
rec-6129-dup-1, rec-8774-org, eng, f, 32, 19880521, , bradley, hollands, nsw, speers point, 02820, 361, bavay place, quinden, 612 4981567, 764232619, 2, NoRole
