id|onmlast|onmfirst|onmtitle|gender|dob|ssn|stline1|stline2|city|state|zipcode|phone|
rec-5548-dup-1|yadin|liam|||19900423|619937022|2 wyangala street||kelvin grove|qld|03931|613 2971614|
rec-1994-dup-1|aaternir|tylan||f|19881225|166890742|257 macckellar crescent|banora|idalia|qld||613 2172194|
rec-9668-dup-1|shao|izaac|mr||1989 0604|303369046|41 kenyon ci cuit||springwood|nsw|03220|612 8645193|
rec-9573-org|strangway|mitchell|||19910302|432288804|3 vasey crescent||seaspray|vic|06210|416 5212713|
rec-4503-org|rodgers|henry||f|19911006|934741895|3 aroona court||portsea|vic|04655|618 6282983|
rec-3563-org|strahn|riley|mrs|f|19930124|633127199|19 euroka street|palm lake resort|tingalpa|qld|02527|613 2191067|
rec-8528-dup-1|henschel|cain|ms||19S10804|353132029|9 sutton place||noranda|wa|02756|618 6713980|
rec-1032-dup-0|gates|briley||f|20000221|243542513|270 maharatta circuit||swan vale|nsw|03129|612 6923176|
rec-999-dup-0|aaron|joshua||f|19840717|122071812|2 william street||laughtondale|ns|04060|612 7333677|
rec-4619-org|hann|renee|||19900228|246670499|10 keverstone circuit|roachdale|north curl curl|nsw|02212|708 1996699|
rec-1408-dup-0|fry|maryellqen|ms|f|19940326|513586900|122 barr-smithavenue|highvalevillage|geeveston|tas|02850|6174300414|
rec-1349-dup-0|bene�|yasmin||f||907536230|20 sargeant  lace||tarana|nsw|02320|612 9960533|
rec-8067-dup-0|strainij|isabella|dr|f|19910625|229673047|22 osburn drive|locn 3 16|ironbank|sa|03198|617  440587|
rec-5876-org|hyland|erin||f|19890730|711447960|11 casey crescent||bannister|nsw|07316|612 3796176|
rec-5367-org|tabalah||ms|f|19871114|773737346|26 coningham street|autum lodge|gilderoy|vic|06062|618 5624377|
rec-4571-dup-0|nudbah|azima|mr|f|2011 727|86359 4149|21 ulverstonestreet|hillsidefarm|trigg|vic|04870|6183167212|
rec-9850-org|zavadsky|reuben|ms|f|19911220|651858694|1 grounds crescent||alligator creek|qld|02500|416 0968927|
rec-10481-org|wilder|caitlin||m|19980113|994788802|11 bateman street|mayville|stockyard|qld|04701|613 0555109|
rec-6129-dup-1|hollands|bradley||f|19880521|764232619|361 bavay place|quinden|speers point|nsw|02820|612 4981567|
rec-766-org|ikin|josie|ms|f|19880510|571992867|62 majuraroad|florinapark|meringandanwest|qld|04566|4165703813|
rec-1826-org|nirupa|rachel||f|20000531|697803630|15 dryandra street|glenlea est|red hill|wa|03690|618 1410833|
rec-6768-dup-0|zhao|zoe|mr|f|19930605|6427 26097|131 beasley s treet||wooragee|vic|04210||
rec-4601-org|elliston|jessica|ms|m||216509998|8 withers place|el-woodaro|bournda|nsw|04227|612 1536477|
rec-9377-org|booker|kirra||m|19540901|503948346|32 decker place|tarldarn|cranbrook|qld|02223|613 2046415|
rec-6255-org|wortham|lindley|mr|m|19790711|578382408|47 northcotecrescent|willandra|maraylya|nsw|04610|6123691753|
rec-3400-dup-0|sharman|pierce|mr|m|19931102|509072436|13 onkaparinga crescent|warringa nebraska|conj la park|nsw|02196|613 79 9969|
rec-3250-org|spence|madeleine||f|19941009|901716071|11 horne place|the links|stirling north|sa|02628|617 9648448|
rec-3047-dup-0|lijanikh|erin||f|19730220|407061809|135 nymagee place||seaton|vic|03204|618 5540741|
rec-6816-dup-0|bishop|holly|mr||19800117|233020413|41 hu tl||naringal|vic|03000|204 0316164|
rec-3980-org|na|liam||f|19820930|760517327|1 namatjira drive|coolbellup hotel (cnr waverley r road|metung|vic|02220|618 5033002|
rec-9714-dup-1|mackelyck|joe|ms|f|19851102|748021626|malkolm plase||sutton grange|vic|02193|618 5778725|
rec-9884-dup-1|dreschler|ztamuel||f||857720954|6 douglas place||north moonta|sa|02168|617 5068477|
rec-9332-org|sclater|joshua||m|19890612|254897963|16 badgery street||bonbeach||02283|708 9790239|
rec-26-dup-1|leonardson|madeline|mr|f|19900528|365674695|67 macquarie street||barden ridge|nsw|02759|612 6220165|
rec-3573-dup-0|maxwel|||f|19910519|854252345|hartigan street||lonkford|tas|04500|617 3801846|
rec-9953-org|ching|pande|mr|m|19960907|243550278|44 ebsworthclose|medicalcentre|fassifern|nsw|05144|6126067824|
rec-6147-org|souhayla|catherine|ms|f|20100310|865333688|30 stutchbury street|karinya lodge|onkaparinga hills|sa|04116|708 3915135|
rec-3105-dup-0|scorsone|jordan|ms|f|19845527|591017333|46 weavell place||highfields|qld|02290|613 4792421|
rec-1596-dup-0|smedley|bayoey||f|19900516|209938920|1298 castlereagh crescent|hindman street|mona vale|nsw|02444|612 7793834|
rec-1619-org|aarts|jayden|pfc|f|19970129|236256680|32 wyatt place|ainslie house|bronte|nsw|04505|612 8784018|
rec-7415-org|sackville|saskia||f|19010529|514739949|48 moruya circuit|raycroft|peakhurst heights|nsw|02564|612 3786578|
rec-4192-dup-0|schluetter|matthe||f|19911102|464169455|10 parkwood road||golden squaar|vic|04019||
rec-7051-dup-1|farrell|lachlan|pfc|f|19930514|119623948|16 allunga|harrington circuit|middle beach|sa|05061|617 9853966|
rec-2124-dup-1|preeti|zoe|||19820322|897753281|13 samuels crescent|wilga|koonawrra|vic|05163|618 7631448|
rec-4050-dup-0|stubhaan|tomas|dr|f|19560116|883842090|64 anembo street||digby|vic|04702|618 5614489|
rec-356-dup-0|terlinnden|gabriele|ms||19900616|958850969|5 derrick street||iron knob|sa|03677|617 2407787|
rec-10113-org|hsi|emma||m|19900318|296373857|26|qunaba|rivett|nsw|02146|612 3305514|
rec-8991-org|abdali|deakin||f|19920625|332161666|8 bancks crescent||kandos|nsw|03127|612 9232355|
rec-4913-org|scinto|carlin|ms||19790331|631061143|1 jardine street||pimpama|qld|06026|613 1503625|
rec-8231-dup-1|prithu|benja min|dr|m||682670171|74 william webb drive||wandsw orth|nsw|03034|612 9703832|
rec-1223-dup-0|sandipan|zamez||m|19890205|866582877|22 healy street|merrilea|charlestown||02250||
rec-7803-dup-1|vantveer|greet|ms|f|19820521|369782673|9 brombystreet||brentfordsquare|vic|06062|2040377415|
rec-5585-org|zoeber|tahlia|ms|f|19951207|667504528|29 coningham street||pallarenda|qld|05577|613 4571479|
rec-7338-org|lana|georgia|pfc|f|19890317|249854597|12 wills street||muniganeen|qld|03130|613 5822950|
rec-558-org|segem|ella||f|19971219|609077304|28 bimberi crescent||burringbar|nsw|03201|612 5110268|
rec-5023-org||emma||f|19980222|114734775|204 landor place||niddrie|vic|03953|618 8857098|
rec-8040-org|dixon|isabelle||f|19970529|100297746|118 jensen street|tomary|browns plains|vic|06065|618 7903927|
rec-29-dup-0|scotti|joshua|||19910620|287022273|1 boswordh circuit|lambar|warrnambul|vic|03150|618 3151378|
rec-191-dup-0|sunanfa|william||m|20110715|567789280|12 federal highway|kalooca|clayton|vic|02035|618 0511071|
rec-143-dup-1|ovorova|jamie|mr|f|19880808|128785405|25 jon russell circuit|bletchly park|eden|nsw|06260|612 3605645|
rec-756-dup-1|ow|jack||f|19840304|287388251|11 kjnleyside crescent||cudgera creek|nsw|0616 4|612 9234387|
rec-4370-org|kherpina|klavdija|ms|f|19940719|486312059|31 goldnercircuit|lyngae|natteyallock|vic|03148|6187847301|
rec-2762-dup-0||mystmque|mr|f|19870716|740232999|10 clancy street|warrah lea|herne hill|vic|02615|618 2626467|
rec-133-dup-0|hamutal|jack||||808099370|734 vansittart crescent||oxley|act|02195|612 9206262|
rec-4707-dup-0|wade|zak|mr|f|19270412|442587103|6 antill ztreet||captains mountain|qld|03174|613 2885963|
rec-8123-dup-0|skandera|deakin|ms|m|19870313|692931753|11 buxton street|glenwarren|badgerys creek|nsw|03148||
rec-4476-org|myers|mittie|hon|f|20010729|499970701|200 maymaxwellcrescent|villa32|raceview|act|02450|6123080607|
rec-5283-org|todd|kyle||f|19960615|746520394|6 riley place|harmony farm|kongwak|vic|02216|618 3742056|
rec-9266-org|mar|kristin||f|19940412|386278723|75 blakey close||cleveland||02487|708 8799027|
rec-6264-dup-0|tennyson|josh ua||f|19920415|727156314|61 canopus crescent|wisperin  pines|moorabbin|sa|02011|617 1572659|
rec-71-dup-1|abbetmeyer|maliah||||930198851|9 forlonge street||clun es|nsw|05008|416 5791958|
rec-2220-org|badcoke|jayden|hon|f|19120310|653824080|5 marengo place||marrickville|nsw|03500|612 5663880|
rec-6537-org|slater|emiily|ms|f|19900329|906021533|29 brown street|tulla burra|sussex inlet||03334|204 2347759|
rec-591-dup-1|hoells|carlin|dr|f|19871027|795853526|468 sherwood circuit|henry kendall hostel|southb rook||02360|204 1176492|
rec-3347-dup-0|niharika|cooper||m|19940602|187452435|9 walkercrescent||east hil ls|nsw|03163|612 6352132|
rec-9943-dup-1|albinson|max|mr||19920821|752965249|401 johnsqcrescent fred|brampton|moogara|tas|03108|617 8229877|
rec-4844-org|marika|orana|ms|f|20050209|251572197|4 archibaldstreet|mirani|culham|wa|04067|6181345547|
rec-6179-dup-0|wakefield|nicholas||m|20000827|116454817|22 scottsdal  street||howden|tas|02 26|617 8428936|
rec-8384-dup-0|aballon|baiJey||f|19870509|354225150|25 priestley place||torrington|nsw|06160|612 09 33417|
rec-10048-org|hsu|zhifang|ms|f|19791222|763096986|52 braggstreet|marsden|macleod|vic|02615|6184630004|
rec-3242-dup-1|pakac|rachel|dr||19980828|244598352|14 ferguson circuit|tintakel|beecroft||02287|416 1697841|
rec-8974-org|mircea|joshua||f|19920418|877343659|18 mckillop circuit||wangaratta||03644|204 8994808|
rec-5143-org|toro|michael||m|19900217|447010000|29 biraban place||elabbin|wa|03428|618 4825522|
rec-5784-org|banuchi|sian|dr|m|20131221|599424824|33 menzie place||bellevue hill|nsw|06230|612 9708502|
rec-7775-dup-1|hallman|andie||f|19790509|181821353|42 sprinkvale trive|phoenix park stud|mount mee|vic|02443|618 5120579|
rec-9249-dup-0|sherani|finlay|||19960825|620834604|8 keys crescent||hawthorzndene|sa|03030|617 0270290|
rec-12-dup-0|yi|jacqueline|hon|||359923550|8 cataract street||ngunna wal|act|06100|204 4464943|
rec-7923-dup-1|vasquez|charlotte||m|19850910|908064813|19 scattergood place||ringood|za|07270|617 7593668|
rec-8826-org|drammeh|michael|||19790508|380499078|2603 neales street|cantlay farm|chelmer|qld|04207|613 6602688|
rec-8797-org|wootton|riley|||20100805|911309710|11 finniss crescent|rosetta village|catalina|nsw|07004|612 1435573|
rec-5094-org|gibson|jade|mr|f|19920123|133742413|7 macqueen place||dederang|vic|05341|618 5187658|
rec-26-dup-0|leonardson|madeline|mr|f|19900528|365674695|67 macquarie street||barden ridge|nsw|02759|612 6120165|
rec-4390-dup-1|he|jess'lca||f|19920903|877121097|6 pandanus street||silverwater|nsw|02042|612 5570763|
rec-3829-org|kyles|mason||f|19830914|174583080|28 seymour place||morella|qld|02431|613 0745310|
rec-6731-org|fu|jacqueline||f|19920303|291348232|23||kemps creek|nsw|02780|612 3786175|
rec-7579-dup-0|munira|jamie|ms|f|19857004|503889027|192 william wilkijs crescent||clifton springs|vic|03840|618 4467618|
rec-3587-dup-1|coerten|kira||f|19950424|271197248|34||wonkaling beach||04700|204 4057502|
rec-1598-org|tendulkar|sienna|dr|f|19910204|606113761|11 melrose drive|halls of residence monash university|lutwyche|qld|06018|613 8086175|
rec-711-org|somasundaram|mikaela|ms|f|19920730|193929285|10 davidson street||suttor|qld|03550|613 9653122|
rec-7282-org|ryers|ryan||f|19960112|752950678|22 jemalong street|villa 32|boolading|wa|02380|618 4484036|
rec-9684-org|aarcy|alexandra||m|19800908|436958636|17 lindwall place||darnum|vic|02035|618 3255555|
rec-6442-org|ashley|amy||m|19870204|149470189|20 carpenter close||quedjinup|wa|03350|204 6935236|
rec-3474-dup-1|abadi|claire|mr|f|20091124|874696766|652 pryorvplace|thornbury house|toowong|qld|03021|204 5701088|
rec-7488-org|mottershead|campbell|mr|m|19780425|654379016|35 french street|kareela|burleigh waters|qld|04018|613 3837337|
rec-6295-org|singleton|lachlan||f|19820605|446922801|24 babinda place||glenrae|qld|03850|613 8279316|
rec-9985-org|siantos|ethan|ms|f|20090216|767185089|307 pinkerton circuit|||vic|03179|618 3804455|
rec-2719-org|mcdougall|daniella|ms|f|19780528|611140741|20 woronora street|brindabella specialist centre|rokeby|vic|02539|618 8954368|
rec-8255-dup-0|lo|warrick|ms|f|19911207|594895516|32||narbethong|vic|03690|618 9049992|
rec-1532-dup-0|nicolst|jayden||f|19770905|228869731|26 maynard street||brymaroo|qld|06064|708 2442829|
rec-4536-org|alvey|jade|ms|f|19850115|848216441|388 captain cook crescent||rockville|qld|03162||
